,RTD,PH,EC,DATE,TIME
0,20.9,7.65,260,05-12-2020,17:26:50
1,20.9,7.65,259,05-12-2020,17:27:06
2,20.9,7.65,259,05-12-2020,17:27:23
3,21,7.65,259,05-12-2020,17:27:40
4,21,7.65,259,05-12-2020,17:27:56
5,23,7.5,257,05-12-2020,17:28:13
6,23,7.5,257,05-12-2020,17:28:30
7,23,7.5,257,05-12-2020,17:28:46
8,21,7.5,259,05-12-2020,17:29:03
9,21,7.2,562,05-12-2020,17:29:20
10,21,7.2,562,05-12-2020,17:29:36
11,23,8,562,05-12-2020,17:29:53
12,23,8,562,05-12-2020,17:30:09
13,23,8,562,05-12-2020,17:30:26
14,21,7.75,259,05-12-2020,17:30:43
15,21,7.75,259,05-12-2020,17:30:59
16,21,7.75,259,05-12-2020,17:31:16
17,20.9,7.75,259,05-12-2020,17:31:33
18,20.9,7.65,562,05-12-2020,17:31:49
19,20.9,7.65,562,05-12-2020,17:32:06
20,21,7.65,562,05-12-2020,17:32:23
21,21,7.65,562,05-12-2020,17:32:39
